Date,Sales
2020-12-08,7275.670100135942
2020-12-09,7057.083055205778
2020-12-10,7001.543526032309
2020-12-11,6240.226321560779
2020-12-12,3662.8491409685766
2020-12-13,7099.384187595936
2020-12-14,7731.711328808692
2020-12-15,7347.350939371159
2020-12-16,7047.4242647585725
2020-12-17,6906.212261606002
2020-12-18,6056.654895201345
2020-12-19,3390.336615150316
2020-12-20,6739.153649553704
2020-12-21,7286.921098075923
2020-12-22,6823.0591472246
2020-12-23,6450.507445108709
2020-12-24,6245.239776570125
2020-12-25,5341.722153256728
2020-12-26,2632.8610946207405
